category,model,space,size
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ahmedalrashedi/demo,2.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,cpereira/ai-marketplace,4005.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,cndavy/HuggingGPT,3398.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,nextgenai/myspace-1,2.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,gourib/llama_demo,6.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,iabualhaol/pdfchat,3.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,optimum/optimum-benchmark-ui,139.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Pranjal12345/SentimentAnalysis,2.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,GroNLP/LM-Explanation-Demo,7566.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Ankush05/Code8,7.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,kudoshinichi/hf-sentiment-models,2.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,TensorBoyML/Lucky,3.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,deniandriancode/simple-sentiment-analysis-pipeline,2.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,iabualhaol/test_sent,2.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Bayhaqy/Classification-News-Analysis-and-Prediction,23.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,SSHAMZZ/Host_trial_1,16.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,pattawat/hh,2.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,640510702phithak/Text_Generator,2.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,640510702phithak/Sentiment-Analysis,2.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ZackBradshaw/omni_bot,56894.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,atrifat/tt-ai,116.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,atrifat/hate-speech-test-api,5.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,pjeena/Customer-Insights,32.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,sujit2050/learning,2.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,scademy/distilbert-sentiment-analysis,6.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mokshdudeja/FakeNewsClassifier_by_Moksh_and_pooja,274518.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,louisbrulenaudet/HuggingGPT,3402.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,argodevops/demo,4.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Chris4K/sentiment-tool,3.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Chris4K/sentiment-analysis-tool,3.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,asFrants/TextSummarization,264.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,paranitik/4,274518.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,sivamlwarehouse/test,2.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Sankie005/Emotiondetectionapi,7.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,AsadullaH777/HuggingGPT,3402.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,pjsturtevant/TheStoic24Score,274544.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Gopsrk/gradio-senti-analysis,2.3
text-classification,SamLowe/roberta-base-go_emotions,noelfranthomas/Cratic_test,6.0
text-classification,SamLowe/roberta-base-go_emotions,Pontonkid/Real-Time-Multilingual-sentiment-analysis,2085.5
text-classification,SamLowe/roberta-base-go_emotions,feierdun/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,muneebashraf/Visual-Sentiment-Analyzer,3.5
text-classification,SamLowe/roberta-base-go_emotions,rbyat/Immortal-Beloved,2948.0
text-classification,SamLowe/roberta-base-go_emotions,exogenous/Real-Time-Multilingual-sentiment-analysis,2085.6
text-classification,SamLowe/roberta-base-go_emotions,yilin1344/my_first_space,2.1
text-classification,SamLowe/roberta-base-go_emotions,coffeebeans-ai/audio_sentiment_analysis,2090.5
text-classification,SamLowe/roberta-base-go_emotions,detian/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,Subhanshu999999/movie-sentiment-analysis,70255.2
text-classification,SamLowe/roberta-base-go_emotions,TIXTPCOA/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,Zigzagindia/electron_asr,2085.4
text-classification,SamLowe/roberta-base-go_emotions,LimKopi/Whisper-Audio-Analysis,52.7
text-classification,SamLowe/roberta-base-go_emotions,agkbv/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,WeiHan123/Audio-Analysis,84.0
text-classification,SamLowe/roberta-base-go_emotions,djdipt/SIH-docker-backend,4.4
text-classification,SamLowe/roberta-base-go_emotions,mfernezir/SentimentAnalysis,2.4
text-classification,SamLowe/roberta-base-go_emotions,kaungmyat/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,rayespinozah/project.audio.sentiment,10349.8
text-classification,SamLowe/roberta-base-go_emotions,Maryam-1/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,thocky/LLMProjects,2.7
text-classification,SamLowe/roberta-base-go_emotions,coffeebeans-ai/AudioSentimentAnalysis,11.7
text-classification,SamLowe/roberta-base-go_emotions,Maryam-1/emotions_classification,1.8
text-classification,SamLowe/roberta-base-go_emotions,attaelahi/Emotion-Detection,3.8
text-classification,SamLowe/roberta-base-go_emotions,blobcurry/test1234,2.0
text-classification,SamLowe/roberta-base-go_emotions,Maryam-1/Project-1,3.3
text-classification,SamLowe/roberta-base-go_emotions,Vadala/SamLowe-roberta-base-go_emotions,1.8
text-classification,SamLowe/roberta-base-go_emotions,testDS/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,DanyaalMajid/NLP-Q2,5.5
text-classification,SamLowe/roberta-base-go_emotions,GameReview/youtubegamereview,9.1
text-classification,SamLowe/roberta-base-go_emotions,EnisSen/Sentiment-Analysis-with-Whisper,5.3
text-classification,SamLowe/roberta-base-go_emotions,coffeebeans-ai/amplifon_demo,2088.4
text-classification,SamLowe/roberta-base-go_emotions,shrimantasatpati/streamlit_real_time_speech_emotion_recognition_bot,5.5
text-classification,SamLowe/roberta-base-go_emotions,EnisSen/Real-Time-Sentiment-Analysis,7.2
text-classification,SamLowe/roberta-base-go_emotions,kushalthandra/epics_final,2085.5
text-classification,SamLowe/roberta-base-go_emotions,kushalthandra/epicsfinal,2084.9
text-classification,SamLowe/roberta-base-go_emotions,xhgcc/SamLowe-roberta-base-go_emotions,1.8
text-classification,SamLowe/roberta-base-go_emotions,Pneptune/SamLowe-roberta-base-go_emotions,1.9
text-classification,SamLowe/roberta-base-go_emotions,Keetawan/RobertaEmojiSentimentAnalysis,510981.4
text-classification,SamLowe/roberta-base-go_emotions,bongaswonga/youtubegamereview,9.1
text-classification,SamLowe/roberta-base-go_emotions,GameReview/youtubegamereview2,9.1
text-classification,SamLowe/roberta-base-go_emotions,abhicodes/Cross-Modal-Sentiment-Analysis,42.4
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Anthos23/hummus,2.5
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,sohomghosh/FLUEnT,2957013.4
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,slachitoff/CS-GY_6613_Project,3.8
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,saccharinedreams/sentiment-analysis-app,1873.7
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Alejandrapulidoa/PriceScopev2,120.3
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Alejandrapulidoa/finetuned-financial-news-sentiment-analysis,4.3
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,shekolla/finbert-financial-sentiment,8.9
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,ellyothim/first_shot_sentiment_analysis,3.7
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,ellyothim/First_shot_gradio_covid_sentiment_analysis,3.9
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Jamal914/First_shot_gradio_covid_sentiment_analysis,4.0
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,nikoifirewall/First_shot_gradio_covid_sentiment_analysis,4.0
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Mavrck307/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis,1.9
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,jboyerjr/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis,1.9
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Ahmad-Moiz/classification-Sentiment,3.1
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,santoshNA/financial-news-sentiment-analysis,1.9
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,abhyast123/financebot,3.8
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,rakeshbl/learningAI_Gradio,3.1
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Kajal17/AI_Voyagers,2.2
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Kajal17/AI_Voyagers_2,2.2
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,khandelwalkishna15/FinSentimentAnalysis,3.5
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,vivekdhaiya/AI_Voyagers,2.7
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Guri1996/RobertaFinancial,1.9
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,sienlonglim/sentiment_analysis,26.1
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,dismay/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis,1.9
text-classification,laiyer/deberta-v3-base-prompt-injection,laiyer/prompt-injection-benchmark,13.5
text-classification,laiyer/deberta-v3-base-prompt-injection,jakubz86/laiyer-deberta-v3-base-prompt-injection,1.9
text-classification,j-hartmann/emotion-english-distilroberta-base,j-hartmann/emotion-classification-from-csv,5.8
text-classification,j-hartmann/emotion-english-distilroberta-base,j-hartmann/emotion-similarity,5.1
text-classification,j-hartmann/emotion-english-distilroberta-base,jitesh/storytelling,1527.4
text-classification,j-hartmann/emotion-english-distilroberta-base,samueldomdey/Emotion,5.4
text-classification,j-hartmann/emotion-english-distilroberta-base,awacke1/CSV2ClassifyVisualization,12.4
text-classification,j-hartmann/emotion-english-distilroberta-base,awacke1/CSVSentiment,6.4
text-classification,j-hartmann/emotion-english-distilroberta-base,Suzana/text_basic_emotions,1.8
text-classification,j-hartmann/emotion-english-distilroberta-base,asingh6/patient-sentiment-analysis,3.8
text-classification,j-hartmann/emotion-english-distilroberta-base,Puree/Lab_10,2.3
text-classification,j-hartmann/emotion-english-distilroberta-base,Guynaris/Lab10_620510564,2.1
text-classification,j-hartmann/emotion-english-distilroberta-base,n4th/nlp-reviews,7918.3
text-classification,j-hartmann/emotion-english-distilroberta-base,Ozziey/emotion-classifier-from-string,2.2
text-classification,j-hartmann/emotion-english-distilroberta-base,lRoz/j-hartmann-emotion-english-distilroberta-base,1.8
text-classification,j-hartmann/emotion-english-distilroberta-base,elitecode/Detect_Emotions,1.9
text-classification,j-hartmann/emotion-english-distilroberta-base,CutieDev/j-hartmann-emotion-english-distilroberta-base,1.8
text-classification,j-hartmann/emotion-english-distilroberta-base,asdadaa/j-hartmann-emotion-english-distilroberta-base,1.8
text-classification,j-hartmann/emotion-english-distilroberta-base,leolinardi/j-hartmann-emotion-english-distilroberta-base,1.8
text-classification,j-hartmann/emotion-english-distilroberta-base,darthPanda/SentimentAnalysisTool,33.6
text-classification,j-hartmann/emotion-english-distilroberta-base,abrar-adnan/speech-analyzer,185867.4
text-classification,j-hartmann/emotion-english-distilroberta-base,kahvem/aisense,3.3
text-classification,j-hartmann/emotion-english-distilroberta-base,awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary,28.5
text-classification,j-hartmann/emotion-english-distilroberta-base,utkarsh95m/j-hartmann-emotion-english-distilroberta-base,1.8
text-classification,j-hartmann/emotion-english-distilroberta-base,ja-818/speech_and_text_emotion_recognition,2234.9
text-classification,j-hartmann/emotion-english-distilroberta-base,Pruthul/CS482-104-Milestone2,3.3
text-classification,j-hartmann/emotion-english-distilroberta-base,dk3156/sentiment_analysis_app,14.4
text-classification,j-hartmann/emotion-english-distilroberta-base,dbleek/cs-gy-6613-project,171.7
text-classification,j-hartmann/emotion-english-distilroberta-base,jlaf01/sentiment-analysis-app,21.3
text-classification,j-hartmann/emotion-english-distilroberta-base,poiiii/clefourrier-graphormer-base-pcqm4mv1,2.1
text-classification,j-hartmann/emotion-english-distilroberta-base,gshotwell/multi-query-sentiment,629.5
text-classification,j-hartmann/emotion-english-distilroberta-base,xingxing12/j-hartmann-emotion-english-distilroberta-base,1.9
text-classification,j-hartmann/emotion-english-distilroberta-base,whitphx/streamlit-multi-query-sentiment-analysis,3.0
text-classification,j-hartmann/emotion-english-distilroberta-base,dperales/ITACA_Insurance_Core_v4,250.4
text-classification,j-hartmann/emotion-english-distilroberta-base,JKJanosko/Toxicity-Analysis,481347.8
text-classification,j-hartmann/emotion-english-distilroberta-base,kya5/CS482-Milestone2,2.7
text-classification,j-hartmann/emotion-english-distilroberta-base,danielperales/ITACA_Insurace_NLP_v2,250.4
text-classification,j-hartmann/emotion-english-distilroberta-base,dbleek/cs-gy-6613-project-final,859210.9
text-classification,j-hartmann/emotion-english-distilroberta-base,Alesmikes/speech_and_text_emotion_recognition,2234.9
text-classification,j-hartmann/emotion-english-distilroberta-base,ShadowDominator/emotion-classification,2.7
text-classification,j-hartmann/emotion-english-distilroberta-base,ShadowDominator/sentiment-analysis,5.4
text-classification,j-hartmann/emotion-english-distilroberta-base,mohanchinnappan/senti,5.4
text-classification,j-hartmann/emotion-english-distilroberta-base,After-the-Dark/sentiment-analysis,5.4
text-classification,j-hartmann/emotion-english-distilroberta-base,devanshsrivastav/GoEmotions,276.5
text-classification,j-hartmann/emotion-english-distilroberta-base,SudhanshuBlaze/EmoDash,277.1
text-classification,j-hartmann/emotion-english-distilroberta-base,qnbhd/dp-dialogs-21,9557.5
text-classification,j-hartmann/emotion-english-distilroberta-base,devanshsrivastav/goemotions2,276.5
text-classification,j-hartmann/emotion-english-distilroberta-base,jpdiazpardo/jpdiazpardo-whisper-tiny-metal,71079.0
text-classification,j-hartmann/emotion-english-distilroberta-base,miscjose/Data-Annotation-Tool,9.4
text-classification,j-hartmann/emotion-english-distilroberta-base,YaraKyrychenko/BERTinsights,49.3
text-classification,j-hartmann/emotion-english-distilroberta-base,vijaypq/pythonquants.ai,3.5
text-classification,j-hartmann/emotion-english-distilroberta-base,vijaypq/speechrecognition_summary_sentiment_analysis,5.3
text-classification,j-hartmann/emotion-english-distilroberta-base,dawng88/sachacks2023,2.1
text-classification,j-hartmann/emotion-english-distilroberta-base,danysimas/emotfinder,6.1
text-classification,j-hartmann/emotion-english-distilroberta-base,arabooke/j-hartmann-emotion-english-distilroberta-base,1.9
text-classification,j-hartmann/emotion-english-distilroberta-base,dynamicmortal/outlines,4.1
text-classification,j-hartmann/emotion-english-distilroberta-base,dynamicmortal/model_testing,3.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,utec/Manuel2002,1.6
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,kennyhelsens/mlux-feedback-tally,6.6
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Wootang01/sentiment_analyzer_3,2.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros,653033.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,CK42/sentiment-model-comparison,5.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,snoopy731/Goodreads-Score,2.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,AE-NV/sentiment-productreview,3.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,nikhil567/book-recommend-review-system,2841.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,awacke1/Daredevil-Text-Generation,4.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,HamidBekam/Test_DeployingHFMs_Gradio,2.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,junming-qiu/toxic-tweets-milestone-2,1484.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,juliaannjose/SentimentAnalysis,2.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Samp007/Sentiment-analysis-app,2.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,slachitoff/CS-GY_6613_Project,3.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,corykhal/AI-project,5.3
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/TA3,3.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/TA4,3.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/TA5,3.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/TA6,4.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,SamiAlghamdi/FirstEver,216.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,ShadowDominator/feedback-sentiment-analysis,3.6
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,ShadowDominator/sentiment-analysis,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,mohanchinnappan/senti,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,After-the-Dark/sentiment-analysis,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Matt-CB/TwitterAccountAnalyzer,163.1
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,VeyVey/CovidSentiment,2.3
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,VeyVey/Predict_Weather,3.2
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/TA7,4.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/Sixth_Sense,4.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,patel18/sentiment_analysis,3.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,santireyg/memeficador,2016.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Shweta0801/demo-app-text-sentiment-analysis,2.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,joey1895/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Chris4K/chained,17.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,BulatF/StreamlitSentiment,11.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,kitakitune/spaces0703,2.2
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Krupa049/Milestone-2,680.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,CosmoAI/CosmoS,8.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,alexanderander30/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/SixthSense,4.3
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Abdel/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,GroNLP/LM-Explanation-Demo,7566.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sudhanshu976/NLP_FULL_APP,3594.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,TensorBoyML/Lucky-Pika,3.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sowmya1022/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,ans123/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,LeireTedCas/QUIROHELP_WEB_v1,690802.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,kmanoj/Sentiment_Analysis,6.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,rohanvetale/sent1,6.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,taimoor61/classification,2.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,7jimmy/textclassificationbysharjeel,2.6
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,7jimmy/textclassificationbyjiimy,2.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,intelligentr/financeassistantbot,46083.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,archiagrawal/FinancialSentimentAnalyzer,3.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,wendywu/HomeX,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,NguyenVietCuong/similarity-bert,228.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Chris4K/sentiment-tool,3.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Chris4K/sentiment-analysis-tool,3.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,indkhan/YoutubeSentiment,4.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,waldev/testapp,4.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,johnowhitaker/twitter_viz,5.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Bedirhan/bitirme-proje,10.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,miesnerjacob/Multi-task-NLP,32.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,pouchedfox/SP,8.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,pouchedfox/Sen,9.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Jayeshbhaal/news_filter_for_social_wellbeing,384.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,euvieeugenio/textclassification_demo_app,2.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,varunkuntal/twitter-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,furquan/TwitterSentimentAnalysisRoberta,348.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,edusei/sentiment,13.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Captainlongshort/TwitterSentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Mohit-321/WhatsappchatAnalyzer,21.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,kajalag/Whatsapp_Chat_Analyzer,21.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,ac8736/sentiment-analysis-app,94.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,MJ3128/CS-GY-6613-Project,271211.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,sethlxk/milestone2,3.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,sihanasaku/SentimentAnalysisApp,1.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,juliaannjose/SentimentAnalysis,2.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Olivernyu/sentiment_analysis_app,9.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,EmirLise/sentiment_analysis,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,arianasutanto/milestone2,2.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,miknad2319/CS485-Milestone-2,26.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,andyqin18/sentiment-analysis-app,136545.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,dahongj/sentiment-analysis,84.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,slachitoff/CS-GY_6613_Project,3.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Kev07/Toxic-Tweets,89.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,VarshithaCh/sentiment-analysis-app,2.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment,jbraha/aiproject,450500.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,notbhu/toxic-tweets,460.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,simon-kurbiel/sen-analysis,2.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,simon-kurbiel/Sentiment-Analysis,3.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Ptato/Sentiment-Analysis,61881.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,saccharinedreams/sentiment-analysis-app,1873.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,AaronBarbosa/twitter_sentiment,1645.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,xingxing12/cardiffnlp-twitter-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,dperales/ITACA_Insurance_Core_v4,250.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,jeromechew15/milestone2,3.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,rk2546/csgy-6613-project-rk2546,94385.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment,EmirLise/Toxic_Clasifier,6.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,JKJanosko/Toxicity-Analysis,481347.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,simon-kurbiel/tweet-toxicity,2.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,rbbotadra/toxicity-analyzer-app,514684.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,danielperales/ITACA_Insurace_NLP_v2,250.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,VarshithaCh/patentability,274677.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,HarshAI/Dual_Model_Sentiment_Analyzer,3.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,aus10powell/TwitterAccounts,3146156.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,SaraHossam/SentimentAnalysis,2.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Mohit-321/Whatsapp_Chat_Analyzer,21.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,nassga/Toxic_tweets_analizer,3.0
text-classification,cardiffnlp/twitter-roberta-base-sentiment,k-varma/tweet-sentiment-analysis,3.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,HOLYBOY/Sentiment_Analysis_App,31.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,asungajinli/cardiffnlp-twitter-roberta-base-sentiment,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,lokesh6361/analysis,2.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,benmanks/Sentiment-app,3.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,jatinjaglan/wca,22.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,RosiSoyYo/AIIA,4.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,GameReview/youtubegamereview,9.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,adejumobi/ratingsapp,7091.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,cuteharrie/ratingsapp,4695.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,rk2546/csgy-6613-project-rk2546-backup,94386.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,bongaswonga/youtubegamereview,9.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,GameReview/youtubegamereview2,9.1
